shape,color,isPost86,hex,introducedAt,retiredAt,category
"Baker, Large Oval (11¾"")",White,True,#FFFFFF,1986.0,,Bakeware
"Baker, Rectangular (14½"" x 10¾"")",White,True,#FFFFFF,1986.0,,Bakeware
"Baker, Square (10½"")",White,True,#FFFFFF,1986.0,,Bakeware
"Bowl, 5"" Footed (a.k.a. Small Rice) 16",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, 6"" Footed (a.k.a. Rice) 16",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Baking - 6 Qt. (10 7/8"")",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Baking - 4 Qt. (9 5/8"")",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Baking - 2 ½ Qt. (8 5/8"")",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Betty 4",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Bistro - Extra Large (10½"")",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Bistro - Large (9¼"")",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Bistro - Medium (7½"")",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Cereal (stacking, 6½"", 11 oz.)",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Cereal (straight, 5 5/8"", 14¼ oz.)",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Companion (a.k.a. Medium Vegetable; straight, 7¼"") 36",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Deep Oval Serving (a.k.a. Vegetable, 12 1/8"")",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Extra Large (straight, 10¼"", 2 qt.)",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Fruit (5 3/8"", 6¼ oz.)",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Fruit/Salsa (5"", 9 oz.)",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Heart - Large (9"")",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Heart - Medium (7½"")",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Heart - Small (5½"")",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Mixing - Large (flared, 9½"", 70 oz.) 23",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Mixing - Medium (flared, 8½"", 60 oz.)",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Mixing - Small (flared, 7½"", 44 oz.)",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Prep Baking - 1 1/8 Qt. (6 ¼"")",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Prep Baking - 2 Qt. (7 3/8"")",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Serving (straight, 8¼"", 40 oz.)",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Signature (10 1/8"")",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Soup (straight, 6 7/8"", 19 oz.)",White,True,#FFFFFF,1986.0,,Bowls
"Bowl, Square Rim 69",White,True,#FFFFFF,1986.0,,Bowls
"Candleholder, Millennium (Tapered) 2",White,True,#FFFFFF,1986.0,,Other
"Canister, Large (9¾"", 3 qt.) 4",White,True,#FFFFFF,1986.0,,Countertop Accessories
"Canister, Medium (8½"", 2 qt.) 4",White,True,#FFFFFF,1986.0,,Countertop Accessories
"Canister, Small (7 3/8"", 1 qt.) 4",White,True,#FFFFFF,1986.0,,Countertop Accessories
Clock 25,White,True,#FFFFFF,1986.0,,Other
"Coaster, Logo 9",White,True,#FFFFFF,1986.0,,Other
"Cup & Saucer, AD (2 ring handles) 22",White,True,#FFFFFF,1986.0,,"Mugs, Cups & Saucers"
"Flower Pot (3 ½"")",White,True,#FFFFFF,1986.0,,Other
"Goblet (6¾"") 2, 28",White,True,#FFFFFF,1986.0,,Other
Lamp 8,White,True,#FFFFFF,1986.0,,Other
"Mug, Embossed Fan (a.k.a. Horizon Mug) 51",White,True,#FFFFFF,1986.0,,"Mugs, Cups & Saucers"
